id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,6464706a32d276853423f14f09f6674a,2022-11-02T00:00:00,2,Ярославль,4318,Екатерина,Волкова,8,Лампочка LED,2,600
2,6920524a28cee028ecea0755f4edd2e0,2022-11-02T00:00:00,1,Ростов,8117,Снежанна,Федорова,3,Устройство для нагревания табака Трубка Мира,5,2500
3,b74e50c229654c7210bf6b4e5dd6cff4,2022-11-02T00:00:00,2,Ярославль,817,Александра,Козлова,8,Лампочка LED,4,1200
4,9d44564d79eb10ceb8e47feccac67a1c,2022-11-02T00:00:00,2,Ярославль,7609,Константин,Васильев,7,Средство для мытья посуды,1,200
5,eb8874b514b29199d971bad037d4d572,2022-11-02T00:00:00,0,Москва,9912,Надежда,Орлова,2,Молоко 5%,4,600
6,4d0778264c00ee0b90162b21097e9c08,2022-11-02T00:00:00,1,Ростов,5919,Оксана,Орлова,8,Лампочка LED,2,600
7,da0d947eb5712aec34e6c187135740dc,2022-11-02T00:00:00,2,Ярославль,3200,Олег,Сидоров,10,Томаты,3,150
8,e80eef1954085c73e6a5834b354fe8ed,2022-11-02T00:00:00,2,Ярославль,8917,Снежанна,Орлова,8,Лампочка LED,2,600
9,3661db9ec5c186dd666812344e1760c8,2022-11-02T00:00:00,1,Ростов,8003,Геннадий,Иванов,6,Яблоко,4,560
10,249f08b3134c3ab41cc80cebdbc60b95,2022-11-02T00:00:00,2,Ярославль,9706,Эдуард,Соколов,6,Яблоко,4,560
11,d8a48cba1c85109f77caba84126bf0dd,2022-11-02T00:00:00,1,Ростов,1401,Евгений,Кузнецов,5,Яблоко молодильное,1,400
12,586a6a692016b60eabfdc0596c6f7b82,2022-11-02T00:00:00,2,Ярославль,5610,Оксана,Егорова,0,Молоко 1%,2,200
13,a1688e59c51eb3bd89dc545f67eee1cc,2022-11-02T00:00:00,0,Москва,3501,Олег,Попов,5,Яблоко молодильное,1,400
14,d121e8a4522d558c891e658250b06d6b,2022-11-02T00:00:00,1,Ростов,7404,Константин,Кузнецов,7,Средство для мытья посуды,5,1000
15,7d9b3802b8ff3ea7864053b73ce09299,2022-11-02T00:00:00,2,Ярославль,7315,Анна,Волкова,6,Яблоко,2,280
16,33f5ef7ccd1127a412478439689c03d7,2022-11-02T00:00:00,2,Ярославль,7514,Анна,Лебедева,1,Молоко 3%,4,480
17,c71d1b2834e94591518601e3ad7b430a,2022-11-02T00:00:00,1,Ростов,6613,Елизавета,Егорова,0,Молоко 1%,1,100
18,20342e0a04933903421e2444d408b35a,2022-11-02T00:00:00,1,Ростов,618,Александра,Егорова,6,Яблоко,2,280
19,da41a69bd2e69669499f001834f1308d,2022-11-02T00:00:00,2,Ярославль,5818,Оксана,Козлова,10,Томаты,4,200
20,a17990d1b63e80663f9eb2f8c64af3a7,2022-11-02T00:00:00,2,Ярославль,5503,Александр,Попов,1,Молоко 3%,1,120
21,5fbbed9cb6865c531a9fde823714c184,2022-11-02T00:00:00,1,Ростов,6615,Елизавета,Егорова,7,Средство для мытья посуды,2,400
22,b7f93e15501f6ce9bd4140e91c4a6149,2022-11-02T00:00:00,2,Ярославль,9816,Надежда,Козлова,3,Устройство для нагревания табака Трубка Мира,4,2000
23,e304640c8ca94b787413d4a5eca28841,2022-11-02T00:00:00,2,Ярославль,5417,Оксана,Алексеева,8,Лампочка LED,4,1200
24,c01da4ebff12b44f84aa80829789ef7f,2022-11-02T00:00:00,0,Москва,7102,Константин,Петров,7,Средство для мытья посуды,5,1000
25,3df355d11adccc3b4a4b8bab38fb3199,2022-11-02T00:00:00,2,Ярославль,1800,Евгений,Михайлов,0,Молоко 1%,4,400
26,9383800b3634735a090c932d75e040c3,2022-11-02T00:00:00,2,Ярославль,3715,Светлана,Павлова,11,Хлеб ржаной,4,80
27,b798064879ac26b335770334cd902f43,2022-11-02T00:00:00,0,Москва,908,Иван,Новиков,6,Яблоко,1,140
28,fe247d0845d297de5d5dc7d95eda14d8,2022-11-02T00:00:00,1,Ростов,1914,Евгения,Орлова,4,Сахар песок,3,150
29,48658ebf7cc23587127f998780ea5e48,2022-11-02T00:00:00,0,Москва,2814,Ольга,Козлова,3,Устройство для нагревания табака Трубка Мира,1,500
30,bf0f96e1d7a6cec0be238155bc292711,2022-11-02T00:00:00,2,Ярославль,6009,Алексей,Иванов,10,Томаты,4,200
31,835b5791d3830fec93c25d89955232bb,2022-11-02T00:00:00,0,Москва,2817,Ольга,Козлова,5,Яблоко молодильное,3,1200
32,814511a69b09bbaea41da1a6a203095e,2022-11-02T00:00:00,1,Ростов,6717,Елизавета,Павлова,10,Томаты,3,150
33,5d8eded5c3a1d2306e48f36f4408946b,2022-11-02T00:00:00,1,Ростов,3918,Светлана,Орлова,0,Молоко 1%,4,400
34,3e9cea7a37d63d18dc9a80741888be98,2022-11-02T00:00:00,2,Ярославль,6206,Алексей,Сидоров,9,Ручка шариковая,1,45
35,fce43df2e647a2167e01b8aa2a9b7080,2022-11-02T00:00:00,0,Москва,9713,Надежда,Павлова,10,Томаты,2,100
36,cd23e885744eb1af4cc00687f690b015,2022-11-02T00:00:00,0,Москва,8301,Геннадий,Смирнов,7,Средство для мытья посуды,5,1000
37,0125951e0b1c8995968d9e718ee6c19b,2022-11-02T00:00:00,1,Ростов,9309,Эдуард,Смирнов,6,Яблоко,5,700
38,9fbf573317c14dde9cffde3c7b8e058d,2022-11-02T00:00:00,2,Ярославль,1506,Евгений,Попов,6,Яблоко,5,700
39,8d164dfe1f9583dc54f71b18589d587b,2022-11-02T00:00:00,1,Ростов,6210,Елизавета,Морозова,1,Молоко 3%,5,600
