id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,72a2ba6499fbc70638144a561b0f13d2,2022-10-13T00:00:00,0,Москва,3118,Светлана,Федорова,2,Молоко 5%,5,750
2,3ca57d5471bc354773b29e454ab4f3b4,2022-10-13T00:00:00,0,Москва,500,Иван,Попов,7,Средство для мытья посуды,4,800
3,884899b2d9ecf2806889a161987222ce,2022-10-13T00:00:00,0,Москва,5900,Александр,Новиков,5,Яблоко молодильное,1,400
4,79ed4eab7c831d8a33fce10ba97d48a4,2022-10-13T00:00:00,2,Ярославль,6211,Елизавета,Морозова,1,Молоко 3%,1,120
5,d84c9da232576068f849d7a743a5f4e9,2022-10-13T00:00:00,2,Ярославль,314,Александра,Волкова,11,Хлеб ржаной,5,100
6,eeabacb9a366e9d7e19effa36b969890,2022-10-13T00:00:00,1,Ростов,819,Александра,Козлова,10,Томаты,2,100
7,127e5b28fc924679425a218b340b018b,2022-10-13T00:00:00,1,Ростов,318,Александра,Волкова,2,Молоко 5%,2,300
8,2cab0a5b04ce21ca85f3bba7d8c47de9,2022-10-13T00:00:00,2,Ярославль,7415,Анна,Алексеева,8,Лампочка LED,2,600
9,5c7f12b50a84fa5652afded40e5530fb,2022-10-13T00:00:00,2,Ярославль,202,Иван,Сидоров,10,Томаты,3,150
10,bdc2ac526fa57fbee712d856fc41f381,2022-10-13T00:00:00,0,Москва,8017,Снежанна,Великая,1,Молоко 3%,2,240
11,87d4914c5de1ceb7223d0934dad40814,2022-10-13T00:00:00,1,Ростов,2017,Ольга,Великая,0,Молоко 1%,5,500
12,cfed79655de8fdd517ba67f75fa7d3a7,2022-10-13T00:00:00,2,Ярославль,3615,Светлана,Егорова,8,Лампочка LED,1,300
13,a21722268cf7c8e5f32e6bbfc272f7f2,2022-10-13T00:00:00,0,Москва,7404,Константин,Кузнецов,0,Молоко 1%,1,100
14,7a0d7b4f31cbfc50d4ff144d242a9b56,2022-10-13T00:00:00,1,Ростов,6611,Елизавета,Егорова,4,Сахар песок,1,50
15,3bc5d24ea045438ce042286db1b3fcab,2022-10-13T00:00:00,2,Ярославль,7007,Константин,Иванов,4,Сахар песок,4,200
16,3b72c5b57127cf099accccae5871327e,2022-10-13T00:00:00,2,Ярославль,715,Александра,Павлова,11,Хлеб ржаной,3,60
17,3f890c7cb8a93720b841f05c85a75a3e,2022-10-13T00:00:00,2,Ярославль,7402,Константин,Кузнецов,9,Ручка шариковая,5,225
18,7920a7fc4740032597efc9968ceda3b3,2022-10-13T00:00:00,1,Ростов,2906,Петр,Новиков,6,Яблоко,3,420
19,f4b47a66eb083b88a37eaed1e2fdabc8,2022-10-13T00:00:00,0,Москва,4317,Екатерина,Волкова,5,Яблоко молодильное,5,2000
20,4f613b70fa595c7d0c5ab926d40aad22,2022-10-13T00:00:00,2,Ярославль,812,Александра,Козлова,1,Молоко 3%,5,600
21,94297491fa612816b954f1b7a7c00f78,2022-10-13T00:00:00,2,Ярославль,2315,Ольга,Волкова,2,Молоко 5%,2,300
22,6f0f2ced51011c54ae88531950ff4f58,2022-10-13T00:00:00,0,Москва,3509,Олег,Попов,0,Молоко 1%,2,200
23,a5c9633f195817122e56ee034b683e52,2022-10-13T00:00:00,2,Ярославль,7603,Константин,Васильев,1,Молоко 3%,1,120
24,63ae6291cfb3cf31d638a86b7e81a343,2022-10-13T00:00:00,2,Ярославль,402,Иван,Кузнецов,6,Яблоко,1,140
25,da309b0cb3c0b3f2d673320551fc1f0f,2022-10-13T00:00:00,1,Ростов,6919,Елизавета,Орлова,2,Молоко 5%,4,600
26,6ce8abf010718be4d0cc0f9527ae95eb,2022-10-13T00:00:00,1,Ростов,5410,Оксана,Алексеева,1,Молоко 3%,4,480
27,a0cb49ae4578bd008e8e989356f19110,2022-10-13T00:00:00,1,Ростов,5109,Александр,Петров,6,Яблоко,1,140
